step,g_scalar,accum_norm,ema_grad_norm,loss_pos,loss_neg
324,23290.1836,100.0000,22.9392,165.2243,118.6440
325,4106.5176,100.0000,22.9398,40.5367,32.3236
326,-19167.2441,100.0000,22.9397,133.3318,171.6663
327,-79156.5391,100.0000,22.9376,333.3960,491.7091
328,51537.8008,100.0000,22.9359,230.1080,127.0324
329,-8738.9014,100.0000,22.9368,36.0607,53.5385
330,2685.6899,100.0000,22.9382,39.0890,33.7176
331,-12522.6895,100.0000,22.9410,309.1017,334.1470
332,1079.8073,100.0000,22.9393,25.7999,23.6402
333,1598.6748,100.0000,22.9367,41.4817,38.2844
334,51620.9922,100.0000,22.9394,183.1260,79.8840
335,-20897.9805,100.0000,22.9415,174.3812,216.1772
336,-17888.3594,100.0000,22.9435,72.7636,108.5404
337,-4677.5854,100.0000,22.9374,57.0327,66.3879
338,19330.3145,100.0000,22.9379,286.5808,247.9202
339,-5605.2324,100.0000,22.9412,187.6832,198.8937
340,150740.9062,100.0000,22.9453,965.8035,664.3217
341,21093.0176,100.0000,22.9432,111.9281,69.7421
342,-11569.7861,100.0000,22.9440,186.8232,209.9627
343,-70755.2188,100.0000,22.9389,511.2863,652.7968
344,-13121.5898,100.0000,22.9385,84.0883,110.3315
345,21716.6816,100.0000,22.9378,221.7891,178.3557
346,81504.4531,100.0000,22.9351,720.4503,557.4414
347,-6436.1650,100.0000,22.9390,45.7428,58.6151
348,-41854.5547,100.0000,22.9411,228.0401,311.7492
349,10086.4297,100.0000,22.9388,106.9109,86.7380
350,-8477.8369,100.0000,22.9367,38.9422,55.8978
351,-1694.2711,100.0000,22.9423,37.9193,41.3078
352,5260.4482,100.0000,22.9430,63.6542,53.1333
353,14991.1270,100.0000,22.9411,98.3631,68.3809
354,63195.4883,100.0000,22.9426,264.6595,138.2685
355,9158.9355,100.0000,22.9397,121.4919,103.1741
356,-10275.6465,100.0000,22.9367,83.2350,103.7863
357,-44846.5117,100.0000,22.9383,155.3337,245.0267
358,45355.1172,100.0000,22.9373,142.8535,52.1433
359,1251.4534,100.0000,22.9412,76.3978,73.8949
360,-6479.5474,100.0000,22.9440,33.6367,46.5957
361,-23126.0938,100.0000,22.9440,61.9562,108.2084
362,6413.5610,100.0000,22.9477,61.4669,48.6397
